RMM,C0/Si1,C/L,Si,Methyl,C,H,O,F,N,Cl,Br,Ben,C=C,H-,C=O,C-O,0,1
322.24,1,1,1,3,8,11,1,9,0,0,0,0,0,0,0,1,5.048559,2.6513965
356.45,0,1,2,6,11,22,2,6,0,0,0,0,0,0,0,2,5.056351,1.4122177
368.27,1,1,1,3,9,13,3,9,0,0,0,0,0,0,0,3,3.658596,0.58371735
848.4,1,1,2,3,18,15,3,27,0,0,0,0,0,0,0,3,9.593784,6.631455
312.32,1,1,1,3,10,18,2,6,0,0,0,0,0,0,0,2,4.388054,0.8770008
250.28,1,1,1,3,8,15,1,5,0,0,0,0,0,0,0,1,4.7578077,1.6954483
350.59,1,0,4,7,8,21,4,3,0,0,0,0,0,0,0,0,7.0885835,2.9878223
297.6,1,0,4,7,7,23,4,0,1,0,0,0,0,0,0,0,5.103223,0.14898491
770.4,0,0,6,15,34,67,7,0,1,0,0,1,1,0,1,6,10.041185,-5.6107244
698.2,0,0,5,12,31,59,7,0,1,0,0,1,1,0,1,6,8.25233,-7.0860906
303.22,0,1,1,3,11,15,3,0,0,0,1,0,0,0,0,0,4.0728955,-1.315739
361.48,1,0,4,7,7,21,4,0,0,0,1,1,0,0,1,2,6.3696647,1.7062075
426.35,1,0,4,6,6,18,4,0,0,0,2,0,0,0,0,0,6.3620214,1.247936
291.23,1,1,1,4,11,16,1,1,0,0,1,1,0,0,0,1,5.363751,0.15626085
289.22,1,1,1,2,11,14,1,1,0,0,1,1,1,0,0,1,5.1284595,0.047379255
347.34,1,1,1,3,15,24,1,1,0,0,1,1,0,0,0,1,6.591968,-0.48580992
305.26,1,1,1,3,12,18,1,1,0,0,1,1,0,0,0,1,5.699989,0.1002295
415.2,1,1,1,2,14,9,1,6,0,0,1,2,0,0,0,1,6.5319514,-0.6474434
