RMM,C0/Si1,C/L,Si,Methyl,C,H,O,F,N,Cl,Br,Ben,C=C,H-,C=O,C-O,0,1,0,1,2
392.67,0,0,3,9,15,32,6,0,0,0,0,0,0,0,2,3,4.1572304,-2.1041405,1.1843002,2.4945927,16.52432
765.4,0,1,5,12,36,80,7,0,0,0,0,0,0,0,2,5,11.986224,0.029597998,0.15541954,0.47306046,1.2945335
571.1,0,1,5,16,22,54,7,0,0,0,0,0,0,0,1,6,6.9482803,-1.0266184,0.5028446,3.8408144,0.60433495
482.9,0,1,4,13,19,46,6,0,0,0,0,0,0,0,1,5,5.428917,-1.6047113,0.48498452,3.751546,-0.4612639
919.7,0,0,8,24,36,86,11,0,0,0,0,0,0,0,0,11,9.813025,-5.8844438,0.15906247,2.2147853,0.772282
482.9,0,0,4,13,19,46,6,0,0,0,0,0,0,0,0,6,5.112884,-3.2233896,0.41536465,3.9508379,0.36847228
366.6,0,0,2,9,15,34,6,0,0,0,0,0,0,0,0,6,2.7168608,-5.639309,0.40808794,1.0422705,9.17073
424.8,0,0,3,11,17,40,6,0,0,0,0,0,0,0,0,6,3.7485108,-4.6608887,0.44320506,2.3254538,17.857868
993.9,0,0,9,27,39,96,11,0,0,0,0,0,0,0,0,11,11.153828,-4.5770745,0.20176108,0.58862126,1.0776578
1372.6,0,0,12,36,54,130,16,0,0,0,0,0,0,0,0,16,11.964937,-7.1756163,0.12713067,0.48647016,2.1708019
378.68,0,0,3,9,15,34,5,0,0,0,0,0,0,0,0,5,3.777768,-3.7246203,0.4569584,2.661362,10.48683
496.9,0,0,4,13,20,48,6,0,0,0,0,0,0,0,0,6,5.3393745,-3.3677113,0.51280487,4.042098,0.37683845
454.8,0,0,3,12,18,42,7,0,0,0,0,0,0,0,0,7,3.270064,-5.3346534,0.2927744,1.1984226,10.718234
687.3,0,0,6,18,27,66,8,0,0,0,0,0,0,0,0,8,7.9244914,-3.854786,0.31627914,4.145795,-0.36934564
394.72,0,0,3,11,16,38,5,0,0,0,0,0,0,0,0,5,4.2883143,-3.221808,0.7405758,3.7975864,0.30523315
831.6,0,0,7,22,33,78,10,0,0,0,0,0,0,0,0,10,9.191295,-5.8364387,0.06232562,2.2455244,-0.8047241
743.4,0,0,6,20,30,70,9,0,0,0,0,0,0,0,0,9,8.418263,-5.470099,0.17603411,3.076982,0.37151712
1677.1,0,0,14,42,66,154,21,0,0,0,0,0,0,0,0,21,6.6434436,-10.842941,0.26288113,-0.55979604,-1.40195
1298.4,0,0,11,33,51,120,16,0,0,0,0,0,0,0,0,16,10.343537,-8.062452,0.30079886,0.89086133,-1.93208
1008.0,0,0,9,27,40,98,11,0,0,0,0,0,0,0,0,11,11.39496,-4.4652514,0.44172996,0.21463929,0.46062994
965.9,0,0,9,27,37,92,11,0,0,0,0,0,0,0,0,11,10.651585,-4.496395,0.1446715,1.0874629,1.8517468
819.5,0,0,4,25,43,94,6,0,0,0,0,0,0,0,0,6,14.173573,-0.8778684,0.6770529,-0.5792932,0.836084
585.1,0,0,5,15,23,56,7,0,0,0,0,0,0,0,0,7,6.0379243,-3.435657,0.29666474,4.1308327,-0.78493315
438.9,0,0,4,12,17,42,5,0,0,0,0,0,0,0,0,5,5.5175657,-1.9034379,0.44225147,3.6290276,1.4166217
282.48,0,0,2,6,13,22,3,0,0,0,0,1,0,0,1,2,5.4427633,-0.03262925,1.2426869,3.6406474,0.84860736
370.66,0,0,3,9,16,30,4,0,0,0,0,1,0,0,1,3,6.7032843,-0.23547398,0.55530834,3.6603596,0.24414438
224.33,0,0,1,4,11,16,3,0,0,0,0,1,0,0,1,2,3.5921278,-1.7527567,1.1653101,2.8077445,1.6828415
366.6,0,0,2,10,19,34,3,0,0,0,0,1,0,0,1,2,7.0951657,-0.20652223,0.9370432,3.626585,0.34201774
496.9,0,0,3,15,25,48,4,0,0,0,0,1,0,0,1,3,9.899757,0.3995837,0.50308055,0.80366087,-0.4205037
296.51,0,0,2,7,14,24,3,0,0,0,0,1,0,0,1,2,6.0871644,-0.1537453,1.0760515,4.0467277,0.37973708
252.38,0,0,1,5,13,20,3,0,0,0,0,1,0,1,1,2,4.0525265,-2.3171954,1.061057,3.407926,0.94850606
208.33,0,0,1,4,11,16,2,0,0,0,0,1,0,0,1,1,4.105908,-1.4370625,1.0534904,2.8973126,2.8657527
236.38,0,0,1,4,13,20,2,0,0,0,0,1,0,0,1,1,4.4891543,-1.6974639,0.97927034,2.8723576,0.81769097
250.41,0,0,1,4,14,22,2,0,0,0,0,1,0,0,1,1,4.8467913,-1.8976818,0.89583236,3.5010161,0.69596595
222.35,0,0,1,4,12,18,2,0,0,0,0,1,0,0,1,1,4.2563577,-1.5805839,1.2388995,2.7797709,4.096151
224.33,0,0,1,4,11,16,3,0,0,0,0,1,0,0,1,2,3.5921278,-1.7527567,1.056764,2.627611,5.9801846
278.46,0,0,1,6,16,26,2,0,0,0,0,1,0,0,1,1,5.9279494,-1.1551999,0.94280934,3.3435779,0.48035914
266.41,0,0,1,6,14,22,3,0,0,0,0,1,0,0,1,2,4.7016954,-0.9684842,1.1685854,3.4864035,1.114419
252.38,0,0,1,5,13,20,3,0,0,0,0,1,0,1,1,2,4.0525265,-2.3171954,1.0385046,3.391071,-0.29418626
210.26,1,0,1,2,9,10,4,0,0,0,0,1,0,0,1,3,1.4115546,-2.034278,1.4906365,0.45091295,10.126765
179.22,1,0,1,1,8,7,3,0,0,0,0,1,0,0,1,2,1.5883508,-1.9972669,0.010695089,0.6848415,25.886055
194.26,1,0,1,2,9,10,3,0,0,0,0,1,0,0,1,2,1.9161665,-1.940286,0.59639037,0.82039785,12.712174
256.33,1,0,1,1,14,12,3,0,0,0,0,2,0,0,1,2,2.8672626,-2.5352144,1.0079424,1.507408,2.5009692
224.28,1,0,1,2,10,12,4,0,0,0,0,1,0,0,1,3,1.6284215,-2.028799,0.52671105,0.75840706,9.811942
236.34,0,0,1,4,12,16,3,0,0,0,0,1,0,0,2,1,3.1422412,-3.365587,1.1976516,1.7162819,27.871658
210.3,0,0,1,3,10,14,3,0,0,0,0,1,0,1,1,2,3.099361,-2.7752845,1.240608,1.6362319,90.68857
256.33,0,0,1,4,11,16,5,0,0,0,0,1,0,0,1,4,2.434214,-3.7773209,1.0871159,1.1289656,8.147169
298.48,0,0,2,6,13,22,4,0,0,0,0,1,0,0,1,3,4.581926,-0.5468266,0.89317375,3.7013288,0.47565365
300.45,0,0,2,6,12,20,5,0,0,0,0,0,2,0,2,4,2.6936784,-1.626684,1.2114486,2.8802648,1.4484899
316.58,0,1,2,10,15,32,3,0,0,0,0,0,1,0,1,2,5.4589295,0.51174295,0.8876929,3.804956,0.5193518
232.42,0,1,2,6,9,20,3,0,0,0,0,0,1,0,1,2,4.0011325,0.46969485,1.0860001,2.7762344,2.781151
334.57,0,1,2,10,15,31,3,1,0,0,0,0,1,0,1,2,5.435201,0.5105449,1.1278083,3.3513176,1.4707509
250.41,0,1,2,6,9,19,3,1,0,0,0,0,1,0,1,2,4.063957,0.61480594,1.078614,2.3435667,3.0915086
316.58,1,1,2,7,15,32,3,0,0,0,0,0,1,0,1,1,6.5624485,-0.30608582,0.8978809,2.7427237,1.3524036
320.6,0,1,3,9,12,28,4,0,0,0,0,0,1,0,1,3,4.596015,0.551504,0.91068643,3.866119,0.7310994
248.42,0,1,2,6,9,20,4,0,0,0,0,0,0,1,1,3,2.2986355,-1.7812078,0.73231167,0.90934026,105.99802
457.9,0,0,4,12,20,43,3,0,1,0,0,1,0,0,0,3,7.691661,-0.5881237,0.28090745,4.0187254,0.49899772
369.7,0,0,3,9,17,35,2,0,1,0,0,1,0,0,0,2,6.3547525,-1.3369446,0.77271545,3.7429004,0.22183274
471.9,0,0,4,12,21,45,3,0,1,0,0,1,0,0,0,3,7.907315,-0.5223416,0.4210658,2.7397451,0.47104084
413.8,0,0,3,11,19,39,3,0,1,0,0,1,0,0,0,3,6.2400985,-2.2038186,0.244828,4.0450296,-0.40912014
530.1,0,0,5,15,23,51,3,0,1,0,0,1,0,0,0,3,9.05455,0.4062016,0.49128544,1.0766274,0.6673003
441.9,0,0,4,12,20,43,2,0,1,0,0,1,0,0,0,2,8.437817,0.21228325,0.48529506,3.1334813,0.6523641
369.7,0,0,3,9,17,35,2,0,1,0,0,1,0,0,0,2,6.3547525,-1.3369446,0.33951667,3.6711912,0.15044637
427.8,0,0,3,11,20,41,3,0,1,0,0,1,0,0,0,3,6.596613,-2.1296287,0.34907967,3.6550322,0.71776557
399.7,0,0,3,10,18,37,3,0,1,0,0,1,0,0,0,3,6.007004,-2.4746108,0.36607125,3.8166401,-0.34060165
381.7,0,0,2,10,20,39,2,0,1,0,0,1,0,0,0,2,6.855252,-1.4775817,0.34619936,3.5216274,-0.16265377
297.54,0,0,2,6,14,27,2,0,1,0,0,1,0,0,0,2,5.2978845,-2.7333848,0.8620945,3.5824413,0.6511771
397.7,0,0,2,10,20,39,3,0,1,0,0,1,0,1,0,3,6.328666,-4.497479,0.4872414,3.809839,-0.12031502
626.2,0,0,4,20,32,67,3,0,1,0,0,1,0,0,0,3,12.09456,0.021708727,0.42723984,0.70237875,-0.37052986
496.0,0,0,3,15,26,53,2,0,1,0,0,1,0,0,0,2,10.523784,0.13313842,0.62361413,0.66659886,-0.18959352
209.32,0,0,1,3,10,15,2,0,1,0,0,1,0,0,1,1,3.5108266,-3.7916574,1.2490782,2.6871371,2.208648
281.5,0,0,2,6,13,23,2,0,1,0,0,1,0,0,1,1,4.6646404,-2.386974,0.97000855,3.865836,0.20027213
251.35,0,0,1,4,12,17,3,0,1,0,0,1,0,0,2,1,3.4174368,-5.2315135,1.3299284,2.8563354,1.869953
209.32,0,0,1,3,10,15,2,0,1,0,0,1,0,1,1,1,3.547603,-4.6800213,1.0391926,2.6506577,1.9556783
193.27,1,0,1,2,9,11,2,0,1,0,0,1,0,0,1,1,2.7898314,-3.5461023,0.77871466,1.8001344,38.186337
237.37,0,0,1,4,12,19,2,0,1,0,0,1,0,0,1,1,3.955334,-4.1054077,1.2167143,2.8003838,1.6542796
271.46,0,0,2,7,10,21,2,0,3,0,0,1,0,0,0,2,3.3686774,-2.372762,1.018413,2.0124006,12.5379925
355.62,0,0,2,11,16,33,2,0,3,0,0,1,0,0,0,2,5.14014,-2.516387,0.97636837,3.64444,0.07532793
325.43,0,0,2,6,10,18,2,3,3,0,0,1,0,0,0,2,3.4263468,-2.0676053,1.1283265,2.19166,17.605488
344.63,0,0,3,9,13,28,3,0,2,0,0,1,0,0,0,3,4.3579235,-1.8745612,1.0169282,2.9568753,1.0791286
470.9,0,0,3,15,22,46,3,0,2,0,0,1,0,0,0,3,7.8679633,-1.0403835,0.6678996,3.1270325,0.5984952
343.64,0,0,3,9,13,29,2,0,3,0,0,1,0,0,0,2,4.571494,-1.7502068,0.0053938148,3.627072,0.36107138
256.45,0,0,2,6,10,20,2,0,2,0,0,1,0,0,0,2,3.68966,-2.0286076,0.94088286,2.4700892,6.2430325
340.61,0,0,2,10,16,32,2,0,2,0,0,1,0,0,0,2,5.463476,-2.3501008,1.0884061,3.1109679,0.92435026
469.9,0,0,3,15,22,47,2,0,3,0,0,1,0,0,0,2,8.490321,-0.6072264,0.31128028,2.3826663,1.0839899
290.89,0,0,2,6,10,19,2,0,2,1,0,1,0,0,0,2,4.117874,-1.2321221,1.1136359,2.8586838,1.2778007
358.65,0,0,3,9,14,30,3,0,2,0,0,1,0,0,0,3,4.6641054,-2.0598392,1.044305,3.6420157,0.77340895
270.47,0,0,2,7,11,22,2,0,2,0,0,1,0,0,0,2,3.9005094,-1.8557804,1.0796587,3.1176598,4.60485
314.53,0,0,2,7,13,26,3,0,2,0,0,1,0,0,0,3,3.6701548,-3.328423,1.191538,3.1942165,-0.022366345
324.45,0,0,2,6,11,19,2,3,2,0,0,1,0,0,0,2,4.059508,-1.3410734,2.0906038,3.220384,1.8156632
328.63,0,0,3,9,13,28,2,0,2,0,0,1,0,0,0,2,5.032751,-1.4278429,1.2103922,3.8073144,0.776013
226.35,0,0,1,5,10,18,2,0,2,0,0,1,0,0,0,2,3.211575,-3.4128644,1.0947294,2.076806,8.198478
354.6,0,0,2,11,17,34,2,0,2,0,0,1,0,0,0,2,5.6375203,-2.3629146,1.2734052,4.0884914,0.27063757
286.47,0,0,2,6,11,22,3,0,2,0,0,1,0,1,0,3,3.3204393,-4.2392597,1.2444254,1.8049567,48.041218
196.32,0,0,1,5,9,16,1,0,2,0,0,1,0,0,0,1,3.534983,-2.1483433,1.3176177,2.5799303,18.449966
347.71,0,1,3,9,15,37,2,0,1,0,0,0,0,0,1,1,6.273451,-0.17837334,1.2541254,3.6379128,0.06652139
